id,days,mature,views,partner,twitch_id
engb_2299,1459,FALSE,9528,FALSE,73045350
engb_153,1629,TRUE,3615,FALSE,61573865
engb_397,411,TRUE,46546,FALSE,171688860
engb_5623,953,TRUE,5863,FALSE,117338954
engb_5875,741,TRUE,5594,FALSE,135804217
engb_3346,1820,FALSE,4594,FALSE,50273956
engb_6930,2070,FALSE,18460,FALSE,40189534
engb_6367,846,TRUE,204,FALSE,126853728
engb_1434,936,TRUE,1064,FALSE,118869338
engb_4470,973,FALSE,313084,FALSE,115599547
engb_5122,1198,FALSE,791,FALSE,94973589
engb_4790,993,TRUE,364,FALSE,113241013
engb_4919,931,TRUE,3994,FALSE,119663818
engb_575,1354,FALSE,3956,FALSE,81085785
engb_639,1720,FALSE,2833,FALSE,55592461
engb_7012,1573,TRUE,16054,FALSE,64700169
engb_6445,2219,FALSE,3950,FALSE,36174401
engb_1170,2142,TRUE,89458,TRUE,38079222
engb_326,3039,TRUE,115054,FALSE,13233251
engb_4956,1664,FALSE,657,FALSE,59321650
engb_2639,1591,TRUE,29158,FALSE,63652371
engb_5028,368,TRUE,25085,FALSE,177106387
engb_6277,1069,TRUE,8917,FALSE,106526921
engb_6784,2035,TRUE,3011,FALSE,41418023
engb_49,535,TRUE,8482,FALSE,154501248
engb_4526,1450,FALSE,95722,FALSE,73421195
engb_4108,1718,FALSE,3930,FALSE,55682420
engb_1171,2441,FALSE,9733,FALSE,27953914
engb_2568,1784,FALSE,4828,FALSE,51992513
engb_5731,1179,TRUE,10775,FALSE,96302101
engb_1760,702,TRUE,21793,FALSE,139120746
engb_6707,2495,TRUE,574,FALSE,26770546
engb_2019,1938,FALSE,11980,FALSE,44946167
engb_634,1895,TRUE,770,FALSE,46597630
engb_4670,2492,TRUE,1568,FALSE,25651842
engb_2399,1790,TRUE,31841,FALSE,51730005
engb_5737,1638,FALSE,261,FALSE,60961830
engb_6974,1500,FALSE,18318,FALSE,70524636
engb_6919,2158,FALSE,1607,FALSE,37699144
engb_240,725,TRUE,1725,FALSE,137265740
engb_5646,1814,FALSE,1639,FALSE,50590583
engb_158,1910,TRUE,3315,FALSE,46373336
engb_3298,289,TRUE,2733,FALSE,187385098
engb_2354,2106,FALSE,1294,FALSE,38904740
engb_1161,673,FALSE,14678,FALSE,141462246
engb_1869,1921,TRUE,488224,TRUE,45846901
engb_3499,853,TRUE,8138,FALSE,126378005
engb_5655,1138,FALSE,3403,FALSE,101102471
engb_5295,924,TRUE,758,FALSE,119664707
engb_6468,2385,TRUE,859,FALSE,28588067
engb_3872,2063,FALSE,3221,FALSE,40297287
engb_5676,1931,FALSE,212170,TRUE,45396907
engb_72,547,FALSE,2264,FALSE,153231390
engb_544,2313,FALSE,1224,FALSE,30934283
engb_4228,804,TRUE,5573,FALSE,130705044
engb_2430,1959,TRUE,3420,FALSE,44193440
engb_2677,1405,FALSE,106623,FALSE,76748966
engb_576,2447,TRUE,798,FALSE,27788634
engb_5986,2315,FALSE,8926,FALSE,30796517
engb_3707,498,FALSE,759,FALSE,158523868
engb_809,1712,TRUE,2759,FALSE,55576507
engb_593,1899,FALSE,1458,FALSE,46839359
engb_2456,224,TRUE,1178,FALSE,198743760
engb_6911,993,FALSE,1572,FALSE,113655358
engb_3362,2139,TRUE,10500,FALSE,38182598
engb_7101,310,TRUE,1975,FALSE,183599062
engb_7060,1168,TRUE,6442,FALSE,97910651
engb_6080,2406,FALSE,6599,FALSE,28230732
engb_5771,489,TRUE,9063,FALSE,159806569
engb_5914,806,FALSE,21768,FALSE,130741145
engb_6794,1431,TRUE,16987,FALSE,74956100
engb_3361,1892,TRUE,447,FALSE,45653700
engb_3260,2469,TRUE,899,FALSE,27204176
engb_936,1754,TRUE,7496,FALSE,53706043
engb_3837,466,FALSE,4223,FALSE,162259716
engb_2233,2439,TRUE,1345,FALSE,26065098
engb_4568,2091,FALSE,127832,FALSE,39528871
engb_3468,2302,TRUE,494,FALSE,30760903
engb_5540,2025,FALSE,22502,FALSE,41759342
engb_6304,1751,TRUE,599,FALSE,52410632
engb_3284,828,TRUE,449,FALSE,126213661
engb_1376,3735,FALSE,8278,FALSE,986316
engb_4702,1774,TRUE,56645,FALSE,52406992
engb_6480,1160,TRUE,1837,FALSE,98115351
engb_5021,1003,TRUE,10975,FALSE,112671989
engb_6756,1912,TRUE,40349,FALSE,46251236
engb_2533,1057,TRUE,25515,FALSE,107155092
engb_6062,768,TRUE,3105,FALSE,133461737
engb_5956,2578,FALSE,1509,FALSE,24606188
engb_5768,1717,TRUE,311606,TRUE,55768163
engb_1636,663,TRUE,9416,FALSE,142135109
engb_1524,1246,TRUE,8299,FALSE,90967590
engb_1385,737,TRUE,704,FALSE,136137957
engb_119,2591,TRUE,3306,FALSE,24641838
engb_3213,1338,TRUE,6897,FALSE,82483683
engb_4487,2555,TRUE,10240,FALSE,25389284
engb_839,2327,FALSE,17408,FALSE,30904326
engb_6165,2037,TRUE,22721,FALSE,41367478
engb_1150,2007,FALSE,4732,FALSE,42470081
engb_701,1096,TRUE,15826,FALSE,104269486
engb_1794,1638,FALSE,6493,FALSE,61149392
engb_3998,654,TRUE,379,FALSE,142615676
engb_4923,564,FALSE,178,FALSE,151661794
engb_542,1339,TRUE,10528,FALSE,82429193
engb_7074,1688,FALSE,3677,FALSE,57851805
engb_4315,2004,TRUE,36040,FALSE,42526575
engb_1481,1861,TRUE,110677,FALSE,48677453
engb_5915,1562,FALSE,12084,FALSE,65191114
engb_948,744,TRUE,17101,FALSE,135579899
engb_799,1436,FALSE,8645,FALSE,73631643
engb_6513,1226,TRUE,10316,FALSE,92666584
engb_413,1973,TRUE,57649,FALSE,43664324
engb_3811,2310,TRUE,886,FALSE,30941898
engb_7055,2489,FALSE,104481,FALSE,26869615
engb_1923,1749,TRUE,1950,FALSE,53481968
engb_5383,1634,TRUE,3904,FALSE,61403410
engb_1920,1688,TRUE,2054,FALSE,56480230
engb_3555,322,FALSE,2157,FALSE,182558872
engb_6861,1999,FALSE,4014190,FALSE,42745283
engb_1893,739,TRUE,438,FALSE,135795112
engb_5490,2040,TRUE,82304,FALSE,41229739
engb_3977,823,FALSE,2187,FALSE,128508995
engb_2265,612,TRUE,1227,FALSE,145755693
engb_661,2088,TRUE,17570,FALSE,39601744
engb_4449,752,TRUE,8453,FALSE,133638293
engb_5038,1398,FALSE,61009,FALSE,77164009
engb_6720,414,FALSE,107,FALSE,170982552
engb_3714,1398,TRUE,1079,FALSE,74424814
engb_260,1858,FALSE,1094,FALSE,48693886
engb_4330,1240,FALSE,1400701,TRUE,91580306
engb_3957,1918,FALSE,8041,FALSE,45900828
engb_1664,499,TRUE,153891,FALSE,158486415
engb_3209,2073,FALSE,3090544,TRUE,40114747
engb_5888,2222,TRUE,7036,FALSE,36107599
engb_2453,1655,TRUE,880,FALSE,59348682
engb_5720,1770,FALSE,11545,FALSE,52687879
engb_38,1539,FALSE,2279,FALSE,67338349
engb_5594,2023,FALSE,18299,FALSE,41235194
engb_4460,1323,TRUE,841,FALSE,83814565
engb_4958,1931,TRUE,2477,FALSE,45346102
engb_77,218,TRUE,800,FALSE,201638075
engb_6752,954,TRUE,13295,FALSE,117449214
engb_6945,1371,TRUE,996,FALSE,72679038
engb_3678,1449,TRUE,1480,FALSE,71803291
engb_875,807,TRUE,6958,FALSE,130549844
engb_3551,2929,TRUE,30319,FALSE,15802512
engb_4273,918,FALSE,3694,FALSE,120596231
engb_6220,1096,FALSE,562,FALSE,104167481
engb_4999,669,TRUE,584,FALSE,141684107
engb_4537,322,TRUE,1810,FALSE,182741349
engb_465,2275,TRUE,33500,FALSE,32277575
engb_4971,2304,TRUE,4364,FALSE,31288652
engb_6276,610,TRUE,985,FALSE,141441224
engb_2540,1143,TRUE,19916,FALSE,100611944
engb_2412,365,TRUE,186,FALSE,177460855
engb_1596,1054,FALSE,1012,FALSE,107417318
engb_1766,1174,FALSE,4462,FALSE,97239743
engb_6077,2743,FALSE,676893,TRUE,21615575
engb_2433,1706,TRUE,1361,FALSE,51238570
engb_1206,3111,FALSE,6075,FALSE,10849095
engb_1922,578,TRUE,695,FALSE,148853225
engb_2933,269,TRUE,1801,FALSE,190364784
engb_6007,244,TRUE,2983,FALSE,194016872
engb_4230,2038,TRUE,39809,FALSE,41313965
engb_6556,2068,TRUE,4848,FALSE,40258013
engb_2675,1878,TRUE,14873,FALSE,46405794
engb_2203,2338,FALSE,804,FALSE,29758589
engb_5471,2279,TRUE,7125,FALSE,32092639
engb_3593,2113,FALSE,1302,FALSE,37953775
engb_1019,367,FALSE,555,FALSE,175557019
engb_257,3720,FALSE,13545,FALSE,1234937
engb_366,1647,TRUE,2046,FALSE,58262351
engb_1063,2634,TRUE,1852325,TRUE,23693840
engb_5924,1002,TRUE,2165,FALSE,112031145
engb_27,1142,FALSE,11398,FALSE,100646986
engb_6240,2588,FALSE,9279,FALSE,24753169
engb_7022,2379,TRUE,4896,FALSE,29567435
engb_0,324,TRUE,1678,FALSE,181993475
engb_2603,2328,TRUE,581,FALSE,30300163
engb_2993,1048,TRUE,13065,FALSE,108239771
engb_5522,2421,FALSE,1199,FALSE,28078671
engb_2309,2005,FALSE,1608,FALSE,42358143
engb_4815,1974,TRUE,622,FALSE,42854226
engb_36,2000,FALSE,706,FALSE,42434667
