id,days,mature,views,partner,twitch_id
es_3558,1522,FALSE,4405,FALSE,68458707
es_3372,768,FALSE,164810,TRUE,133928858
es_818,1895,FALSE,4953,FALSE,46892468
es_236,828,TRUE,12262,FALSE,128745923
es_2255,1317,FALSE,4937,FALSE,84422595
es_663,1756,FALSE,2802,FALSE,53625989
es_1444,978,TRUE,199491,TRUE,115075667
es_1784,875,FALSE,208895,TRUE,124660888
es_961,957,FALSE,341,FALSE,116156098
es_785,1541,FALSE,28421,FALSE,67159400
es_4331,1987,FALSE,1201330,TRUE,43162226
es_1621,2281,FALSE,11279,FALSE,32121168
es_3534,1387,TRUE,1118,FALSE,75126698
es_2837,2207,FALSE,981,FALSE,36443094
es_4123,1720,FALSE,1006,FALSE,55584473
es_1176,958,TRUE,14332,FALSE,116726798
es_1757,1643,FALSE,11170,FALSE,60755047
es_4041,2172,TRUE,10783,FALSE,37329963
es_4521,380,FALSE,4312,FALSE,175578944
es_1630,1354,FALSE,310,FALSE,77613957
es_524,1705,TRUE,3648,FALSE,56530414
es_601,1513,TRUE,1330,FALSE,69551129
es_3310,1081,TRUE,36712,FALSE,105370588
es_3945,2017,FALSE,15635,FALSE,42070664
es_3339,1326,TRUE,30676,FALSE,83646298
es_1110,967,FALSE,7393,FALSE,116017108
es_2295,1050,FALSE,2032,FALSE,107843595
es_1598,1892,FALSE,29939,FALSE,47254351
es_2814,1838,FALSE,2424,FALSE,49566640
es_3946,395,TRUE,3860,FALSE,173882251
es_2627,1962,FALSE,1303,FALSE,43627108
es_3474,980,TRUE,1192,FALSE,114882628
es_1470,693,TRUE,5040,FALSE,139545213
es_3320,1705,FALSE,9355,FALSE,55695161
es_3505,1447,FALSE,4194,FALSE,73807989
es_1486,1624,TRUE,884824,TRUE,61909660
es_972,157,FALSE,199,FALSE,207529686
es_3409,578,TRUE,260,FALSE,150370276
es_967,2523,TRUE,3540,FALSE,26150605
es_4257,2582,FALSE,86831,FALSE,24853919
es_3775,1779,FALSE,66657,TRUE,52292027
es_4205,617,FALSE,214,FALSE,145104202
es_2433,2256,TRUE,2739,FALSE,32682246
es_1006,1195,TRUE,8698,FALSE,95338797
es_2177,2097,TRUE,24639,FALSE,39137930
es_687,1243,FALSE,116,FALSE,82879659
es_672,1447,TRUE,4817,FALSE,73819286
es_4133,1624,FALSE,154144,TRUE,62009877
es_137,2359,TRUE,6272,FALSE,30089488
es_562,1144,TRUE,814267,TRUE,100541395
es_4607,766,FALSE,1172537,FALSE,134069766
es_4074,388,TRUE,3526,FALSE,174800098
es_4407,1735,FALSE,2299,FALSE,54837186
es_1413,426,FALSE,1390,FALSE,168765978
es_2369,2142,FALSE,32623,FALSE,38088857
es_212,1944,FALSE,730,FALSE,41435542
es_4264,1499,FALSE,496,FALSE,70006067
es_2675,1730,FALSE,1329,FALSE,54739742
es_2423,1858,FALSE,375,FALSE,48689396
es_310,1394,FALSE,6243,FALSE,76825139
es_3897,2365,FALSE,6416,FALSE,29877612
es_1742,1736,FALSE,21379,FALSE,54743079
es_174,1642,FALSE,1541,FALSE,60858701
es_1273,926,TRUE,2147,FALSE,118999322
es_295,462,FALSE,1257,FALSE,163004958
es_3564,392,FALSE,2503,FALSE,173617839
es_3410,1131,FALSE,7749,FALSE,77934246
es_3697,278,TRUE,378,FALSE,189272291
es_724,2315,TRUE,1143947,TRUE,31220977
es_4350,2197,FALSE,2889,FALSE,36118068
es_779,953,FALSE,842,FALSE,115729749
es_1423,771,FALSE,1117,FALSE,133655079
es_1761,566,FALSE,974,FALSE,151424108
es_4382,1597,FALSE,712274,TRUE,63356519
es_4094,1037,FALSE,12525,FALSE,109149320
es_2405,1489,FALSE,945,FALSE,68825299
es_1954,358,FALSE,44222,TRUE,178277821
es_3983,1132,TRUE,4040,FALSE,101456846
es_3590,1786,TRUE,824903,TRUE,51919116
es_1248,477,TRUE,14300,FALSE,161212656
es_3278,1523,TRUE,3652,FALSE,68685903
es_4184,2055,FALSE,5086,FALSE,40361245
es_3021,2202,TRUE,72109,TRUE,36574089
es_3710,887,TRUE,58,FALSE,123647626
es_1429,1391,TRUE,1741,FALSE,77033907
es_1860,2341,TRUE,2931,FALSE,30546700
es_3069,1366,TRUE,1343,FALSE,79288787
es_271,557,FALSE,1945,FALSE,152003063
es_208,1638,TRUE,782,FALSE,59326865
es_3715,655,FALSE,366,FALSE,142505042
es_1159,1308,FALSE,28078,FALSE,85100593
es_3832,454,FALSE,898,FALSE,164477641
es_88,1277,FALSE,23915,TRUE,88565107
es_4546,1121,FALSE,13584,FALSE,102385094
es_952,1861,FALSE,2572,FALSE,48670390
es_4583,771,TRUE,2994,FALSE,133197518
es_723,1153,TRUE,1114,FALSE,99435759
es_4487,1462,FALSE,202,FALSE,68854277
es_2007,525,TRUE,27054,FALSE,155835005
es_1998,1651,FALSE,1857,FALSE,58576389
es_203,1798,FALSE,368858,TRUE,51315079
es_103,2364,FALSE,2082,FALSE,29614289
es_1588,1380,FALSE,1512,FALSE,78605119
es_3143,1629,FALSE,2043,FALSE,61666814
es_1991,746,FALSE,7334,FALSE,135081466
es_1750,1936,FALSE,148722,TRUE,45165663
es_3295,1534,TRUE,1287,FALSE,67835665
es_123,776,FALSE,133511,TRUE,133319736
es_1473,1255,FALSE,1354,FALSE,90131076
es_3669,1910,TRUE,417,FALSE,46296814
es_4596,1781,FALSE,7262878,TRUE,52223987
es_3219,1147,FALSE,1354,FALSE,99522177
es_414,1439,FALSE,8036,FALSE,74433259
es_4406,1460,FALSE,220,FALSE,72369431
es_1568,1261,TRUE,9815,FALSE,89861254
es_3058,475,FALSE,982,FALSE,161428853
es_3368,1060,TRUE,13691,FALSE,107378578
es_813,1482,TRUE,44640,FALSE,71673258
es_9,1975,FALSE,1102,FALSE,43611367
es_1935,945,FALSE,2845,FALSE,118443421
es_2971,2070,FALSE,77119,TRUE,40219850
es_2866,887,FALSE,2478,FALSE,123827210
es_3325,1403,TRUE,149785,TRUE,76886133
es_2046,2206,FALSE,1142931,TRUE,36458068
es_488,3039,FALSE,842,FALSE,13108058
es_2950,1524,FALSE,39137,TRUE,68646058
es_1672,377,TRUE,8014,FALSE,176031566
es_2652,1111,FALSE,7520,FALSE,102937231
es_2679,1580,TRUE,13716,FALSE,64170100
es_1015,1105,TRUE,1720,FALSE,103327519
es_990,1196,TRUE,12796,FALSE,88909560
es_1706,2293,FALSE,1725,FALSE,29355021
es_2743,473,FALSE,97,FALSE,161059630
es_561,613,FALSE,1471,FALSE,144311250
es_1057,1396,TRUE,15963,FALSE,77358951
es_571,1102,FALSE,8676,FALSE,103106054
es_332,1636,FALSE,2834,FALSE,61219409
es_411,1197,FALSE,9912,FALSE,94782183
es_4524,1749,TRUE,953,FALSE,53583687
es_2052,1278,FALSE,2023,FALSE,87707231
es_4168,797,FALSE,652,FALSE,131340977
es_2106,704,FALSE,15044,FALSE,138964656
es_145,954,FALSE,4511,FALSE,117432367
es_27,1873,TRUE,9948,FALSE,48169019
es_2017,1382,FALSE,76,FALSE,77049382
es_281,1232,FALSE,99522,FALSE,92185093
es_2005,3213,FALSE,674631,TRUE,9611617
es_1536,1029,FALSE,2575,FALSE,109791982
es_702,1767,FALSE,81868,TRUE,52970693
es_4611,1773,FALSE,9841,FALSE,52379594
es_31,1921,FALSE,228813,TRUE,45801537
es_2821,1850,FALSE,1935,FALSE,48649146
es_3675,209,TRUE,929,FALSE,198644928
es_963,1838,FALSE,437199,TRUE,49645254
es_4169,2018,TRUE,3159,FALSE,41868552
es_3376,832,TRUE,3929,FALSE,128317344
es_979,1218,FALSE,97258,FALSE,93284068
es_1326,1971,FALSE,871,FALSE,42273149
es_1808,1598,FALSE,828,FALSE,62540993
es_4054,381,FALSE,311,FALSE,174187700
es_3658,758,TRUE,4872,FALSE,134666630
es_1421,1807,FALSE,5079,FALSE,48630307
es_2108,1059,TRUE,5436,FALSE,107389556
es_4093,1114,FALSE,4919,FALSE,102939783
es_2840,2138,FALSE,3555,FALSE,38155229
es_2154,796,TRUE,14610,FALSE,131501847
es_1613,214,FALSE,10372,FALSE,204324641
es_3760,904,FALSE,5518,FALSE,121566026
es_3495,475,TRUE,4367,FALSE,161470565
es_1842,669,FALSE,26981,FALSE,141855998
es_1887,1371,FALSE,10978,FALSE,79267725
es_4426,1918,FALSE,3730,FALSE,45940393
es_1755,118,FALSE,913,FALSE,193088613
es_2316,2155,FALSE,3201,FALSE,37744683
es_631,1354,FALSE,1191,FALSE,81028174
es_2523,1905,FALSE,394,FALSE,46551457
es_325,398,FALSE,1172,FALSE,173343305
es_2210,1949,TRUE,125605,FALSE,44609405
es_1760,789,TRUE,1641,FALSE,131550314
es_3267,1775,TRUE,13908,FALSE,52557539
es_3598,1721,TRUE,55790,FALSE,55581060
es_268,1305,FALSE,10378,FALSE,85508594
es_2552,1768,TRUE,8466,FALSE,52896505
es_2142,2134,FALSE,189374,TRUE,38301436
es_1953,824,FALSE,1131,FALSE,128167356
es_1468,543,FALSE,6239,FALSE,153741946
es_2393,1749,TRUE,2529,FALSE,52389182
es_1247,1856,FALSE,28603,FALSE,48793838
es_3208,1819,FALSE,1180,FALSE,50165169
es_258,1525,FALSE,556,FALSE,68510177
es_2853,1916,FALSE,1498,FALSE,44323828
es_3312,2073,FALSE,3799,FALSE,39892780
es_2571,1695,FALSE,3281,FALSE,56447483
es_1411,2142,FALSE,34653,FALSE,38087191
es_4189,1801,FALSE,10047,FALSE,50969896
es_333,521,FALSE,2993,FALSE,156377683
es_705,344,FALSE,1362,FALSE,180061387
