from,to
fr_0,fr_6420
fr_0,fr_2941
fr_0,fr_3051
fr_0,fr_5511
fr_0,fr_1020
fr_0,fr_4726
fr_0,fr_5968
fr_0,fr_5543
fr_0,fr_4089
fr_6251,fr_180
fr_6251,fr_1712
fr_6251,fr_2287
fr_6251,fr_3552
fr_6251,fr_4395
fr_6251,fr_3920
fr_6251,fr_6148
fr_6251,fr_771
fr_6251,fr_5208
fr_6251,fr_790
fr_6251,fr_4069
fr_6251,fr_4522
fr_6251,fr_6203
fr_6251,fr_4496
fr_6251,fr_5968
fr_6251,fr_1082
fr_6251,fr_5175
fr_3274,fr_2173
fr_3274,fr_2560
fr_3274,fr_1465
fr_3274,fr_3623
fr_3274,fr_2831
fr_3274,fr_1115
fr_3274,fr_2944
fr_3274,fr_4716
fr_3274,fr_4463
fr_3274,fr_77
fr_2,fr_5079
fr_2,fr_2842
fr_2,fr_475
fr_2,fr_5911
fr_2,fr_6454
fr_2,fr_1041
fr_2,fr_2856
fr_2,fr_6040
fr_2,fr_4059
fr_2,fr_813
fr_2,fr_479
fr_2,fr_609
fr_2,fr_6528
fr_2,fr_2807
fr_2,fr_1721
fr_2,fr_1992
fr_3,fr_771
fr_3,fr_412
fr_45,fr_2367
fr_45,fr_996
fr_45,fr_2161
fr_45,fr_6148
fr_45,fr_5511
fr_45,fr_4421
fr_45,fr_4445
fr_45,fr_6101
fr_45,fr_2560
fr_45,fr_3356
fr_45,fr_3905
fr_45,fr_3138
fr_45,fr_5968
fr_45,fr_1020
fr_45,fr_2119
fr_45,fr_6442
fr_45,fr_327
fr_45,fr_3550
fr_45,fr_2650
fr_45,fr_3629
fr_45,fr_4239
fr_45,fr_3857
fr_45,fr_2907
fr_45,fr_5383
fr_45,fr_5571
fr_45,fr_1751
fr_45,fr_3754
fr_45,fr_6420
fr_45,fr_3087
fr_45,fr_4047
fr_45,fr_4717
fr_5,fr_3582
fr_5,fr_514
fr_5,fr_4660
fr_5,fr_183
fr_5,fr_6271
fr_5827,fr_2367
fr_5827,fr_3523
fr_5827,fr_257
fr_5827,fr_6310
fr_5827,fr_5794
fr_5827,fr_3476
fr_5827,fr_5710
fr_5827,fr_771
fr_5827,fr_471
fr_5827,fr_3312
fr_5827,fr_5069
fr_5827,fr_1133
fr_5827,fr_6090
fr_5827,fr_4811
fr_5827,fr_3776
fr_5827,fr_663
fr_6,fr_5511
fr_6,fr_1482
fr_6,fr_1284
fr_6,fr_5968
fr_6,fr_4451
fr_7,fr_2228
fr_7,fr_3350
fr_7,fr_6403
fr_7,fr_768
fr_7,fr_1025
fr_7,fr_4615
fr_7,fr_64
fr_7,fr_2119
fr_7,fr_1485
fr_7,fr_1240
fr_7,fr_3550
fr_7,fr_2374
fr_8,fr_4018
fr_8,fr_612
fr_8,fr_5908
fr_8,fr_2825
fr_8,fr_3051
fr_8,fr_1253
fr_8,fr_5207
fr_8,fr_5756
fr_8,fr_5530
fr_8,fr_1195
fr_8,fr_2012
fr_8,fr_3551
fr_8,fr_2238
fr_8,fr_1155
fr_8,fr_4918
fr_8,fr_1100
fr_8,fr_179
fr_8,fr_4214
fr_8,fr_4813
fr_8,fr_2257
fr_9,fr_3253
fr_9,fr_2568
fr_9,fr_766
fr_9,fr_3350
fr_9,fr_6403
fr_9,fr_4953
fr_9,fr_771
fr_9,fr_1573
fr_9,fr_1056
fr_9,fr_3995
fr_9,fr_3329
fr_9,fr_1276
fr_9,fr_5911
fr_9,fr_2119
fr_9,fr_877
fr_9,fr_1969
fr_9,fr_3952
fr_9,fr_5582
fr_9,fr_4663
fr_9,fr_479
fr_9,fr_5384
fr_9,fr_5130
fr_9,fr_287
fr_9,fr_5385
fr_9,fr_6084
fr_9,fr_3313
fr_9,fr_1127
fr_9,fr_6056
fr_9,fr_6466
fr_9,fr_4329
fr_9,fr_1320
fr_9,fr_2108
fr_9,fr_6281
fr_10,fr_2367
fr_10,fr_3510
fr_10,fr_2161
fr_10,fr_6148
fr_10,fr_5511
fr_10,fr_771
fr_10,fr_142
fr_10,fr_1890
fr_10,fr_1751
fr_10,fr_398
fr_10,fr_5516
fr_10,fr_2560
fr_10,fr_5968
fr_10,fr_4453
fr_10,fr_4451
fr_10,fr_3857
fr_10,fr_5554
fr_10,fr_2650
fr_10,fr_5094
fr_10,fr_938
fr_10,fr_2799
fr_10,fr_2459
fr_10,fr_361
fr_10,fr_1284
fr_10,fr_3959
fr_10,fr_2712
fr_10,fr_5543
fr_10,fr_6420
fr_10,fr_188
fr_10,fr_3046
fr_10,fr_1808
fr_10,fr_4717
fr_10,fr_3459
fr_98,fr_1616
fr_98,fr_4719
fr_98,fr_577
