id,days,mature,views,partner,twitch_id
fr_4867,577,TRUE,775,FALSE,150417538
fr_3692,861,TRUE,2585,FALSE,125723704
fr_3816,523,FALSE,1566,FALSE,155971814
fr_416,2234,FALSE,9713,FALSE,35832890
fr_4502,1896,TRUE,44529,FALSE,46787750
fr_3536,1868,TRUE,41660,FALSE,45572798
fr_6286,2092,FALSE,9116,FALSE,38403495
fr_1918,2011,TRUE,27452,FALSE,42291985
fr_3259,721,FALSE,193768,TRUE,137584596
fr_2527,1544,FALSE,46796,FALSE,66913313
fr_4494,2229,FALSE,2841,FALSE,35957906
fr_1731,371,FALSE,5298,FALSE,176243295
fr_2878,1454,FALSE,5594,FALSE,73374753
fr_1827,1236,FALSE,9458,FALSE,91574826
fr_726,800,TRUE,180586,FALSE,131270485
fr_1075,1590,FALSE,165169,FALSE,63670984
fr_3152,2154,FALSE,117104,FALSE,37799198
fr_4162,1639,FALSE,865,FALSE,60811547
fr_936,2323,FALSE,28865,FALSE,30886244
fr_2481,2418,FALSE,1261,FALSE,28235867
fr_2025,3269,FALSE,53137,FALSE,8901629
fr_3124,184,FALSE,3811,FALSE,213393013
fr_6310,741,TRUE,31763,FALSE,135847847
fr_917,1342,TRUE,674,FALSE,80824628
fr_1780,2420,FALSE,36583,FALSE,28381608
fr_4370,1709,FALSE,11826,FALSE,56306506
fr_1874,1249,FALSE,2001,FALSE,90280606
fr_566,674,FALSE,9107,FALSE,140740042
fr_2184,1478,TRUE,97104,TRUE,71914876
fr_914,987,FALSE,1172,FALSE,114166060
fr_1114,2027,FALSE,1042,FALSE,40602390
fr_1906,2511,FALSE,16966,FALSE,26415863
fr_568,686,TRUE,20588,FALSE,140297678
fr_3544,1308,TRUE,18642,FALSE,85287631
fr_114,1943,TRUE,16542,FALSE,44878213
fr_1310,351,FALSE,2664,FALSE,179195089
fr_4154,1938,FALSE,7696,FALSE,43329778
fr_1771,800,FALSE,21283,FALSE,131273104
fr_3861,2296,FALSE,16732,FALSE,31712753
fr_2772,2064,FALSE,2000,FALSE,37853987
fr_1618,1838,FALSE,22606,FALSE,49598479
fr_3943,1957,FALSE,4181,FALSE,44246718
fr_3827,1665,FALSE,10914,FALSE,59008392
fr_2807,2687,FALSE,2285,FALSE,22633339
fr_2310,2244,FALSE,42509,FALSE,34805435
fr_308,1964,TRUE,4340,FALSE,43907647
fr_4048,2081,FALSE,356144,FALSE,39839712
fr_2611,547,FALSE,5514,FALSE,152705416
fr_4555,855,TRUE,1215488,TRUE,126332227
fr_4582,2213,FALSE,12503,FALSE,36318615
fr_5900,1882,FALSE,8186,FALSE,47643182
fr_2058,1149,FALSE,583,FALSE,99672929
fr_1561,1148,FALSE,1233,FALSE,99126589
fr_1545,1837,TRUE,122,FALSE,43847504
