from,to
ptbr_0,ptbr_92
ptbr_0,ptbr_428
ptbr_1,ptbr_689
ptbr_1,ptbr_1147
ptbr_1,ptbr_1666
ptbr_2,ptbr_179
ptbr_2,ptbr_587
ptbr_2,ptbr_474
ptbr_2,ptbr_287
ptbr_2,ptbr_126
ptbr_2,ptbr_590
ptbr_2,ptbr_289
ptbr_2,ptbr_530
ptbr_2,ptbr_291
ptbr_2,ptbr_848
ptbr_2,ptbr_267
ptbr_2,ptbr_1177
ptbr_2,ptbr_920
ptbr_2,ptbr_689
ptbr_2,ptbr_1785
ptbr_2,ptbr_923
ptbr_2,ptbr_417
ptbr_2,ptbr_1619
ptbr_2,ptbr_1040
ptbr_2,ptbr_656
ptbr_2,ptbr_1432
ptbr_2,ptbr_486
ptbr_2,ptbr_786
ptbr_2,ptbr_1138
ptbr_2,ptbr_1423
ptbr_2,ptbr_425
ptbr_2,ptbr_1365
ptbr_2,ptbr_19
ptbr_2,ptbr_1327
ptbr_2,ptbr_1025
ptbr_2,ptbr_132
ptbr_2,ptbr_866
ptbr_2,ptbr_1694
ptbr_2,ptbr_1443
ptbr_2,ptbr_608
ptbr_2,ptbr_249
ptbr_2,ptbr_609
ptbr_2,ptbr_1867
ptbr_2,ptbr_1345
ptbr_2,ptbr_99
ptbr_2,ptbr_1850
ptbr_2,ptbr_769
ptbr_2,ptbr_167
ptbr_2,ptbr_127
ptbr_2,ptbr_883
ptbr_2,ptbr_318
ptbr_2,ptbr_1384
ptbr_2,ptbr_1389
ptbr_2,ptbr_260
ptbr_2,ptbr_1455
ptbr_2,ptbr_78
ptbr_2,ptbr_1168
ptbr_2,ptbr_968
ptbr_2,ptbr_944
ptbr_2,ptbr_752
ptbr_2,ptbr_56
ptbr_2,ptbr_690
ptbr_2,ptbr_960
ptbr_2,ptbr_766
ptbr_2,ptbr_1093
ptbr_2,ptbr_1464
ptbr_2,ptbr_1720
ptbr_2,ptbr_36
ptbr_2,ptbr_1020
ptbr_2,ptbr_983
ptbr_2,ptbr_398
ptbr_2,ptbr_1193
ptbr_2,ptbr_207
ptbr_2,ptbr_1287
ptbr_2,ptbr_298
ptbr_2,ptbr_1158
ptbr_2,ptbr_1876
ptbr_2,ptbr_1241
ptbr_2,ptbr_1789
ptbr_2,ptbr_471
ptbr_2,ptbr_1782
ptbr_2,ptbr_1788
ptbr_2,ptbr_913
ptbr_3,ptbr_1422
ptbr_3,ptbr_287
ptbr_3,ptbr_894
ptbr_3,ptbr_1194
ptbr_3,ptbr_290
ptbr_3,ptbr_291
ptbr_3,ptbr_1867
ptbr_3,ptbr_67
ptbr_3,ptbr_1245
ptbr_3,ptbr_851
ptbr_3,ptbr_1557
ptbr_3,ptbr_1142
ptbr_3,ptbr_422
ptbr_3,ptbr_1304
ptbr_3,ptbr_928
ptbr_3,ptbr_127
ptbr_3,ptbr_467
ptbr_3,ptbr_1502
ptbr_3,ptbr_1311
ptbr_3,ptbr_305
ptbr_3,ptbr_428
ptbr_3,ptbr_867
ptbr_3,ptbr_1758
ptbr_3,ptbr_1807
ptbr_3,ptbr_1259
ptbr_3,ptbr_1297
ptbr_3,ptbr_669
ptbr_3,ptbr_496
ptbr_3,ptbr_455
ptbr_3,ptbr_1701
ptbr_3,ptbr_870
ptbr_3,ptbr_557
ptbr_3,ptbr_1344
ptbr_3,ptbr_880
ptbr_3,ptbr_173
ptbr_3,ptbr_1621
ptbr_3,ptbr_1320
ptbr_3,ptbr_35
ptbr_3,ptbr_1829
ptbr_3,ptbr_1014
ptbr_3,ptbr_504
ptbr_3,ptbr_689
ptbr_3,ptbr_1543
ptbr_3,ptbr_628
ptbr_3,ptbr_814
ptbr_3,ptbr_12
ptbr_3,ptbr_1593
ptbr_3,ptbr_103
ptbr_3,ptbr_36
ptbr_3,ptbr_637
ptbr_3,ptbr_1660
ptbr_3,ptbr_1138
ptbr_3,ptbr_698
ptbr_3,ptbr_59
ptbr_3,ptbr_1476
ptbr_3,ptbr_335
ptbr_3,ptbr_1787
ptbr_4,ptbr_369
ptbr_4,ptbr_1856
ptbr_5,ptbr_499
ptbr_5,ptbr_1423
ptbr_5,ptbr_896
ptbr_5,ptbr_1621
ptbr_5,ptbr_982
ptbr_5,ptbr_677
ptbr_5,ptbr_290
ptbr_5,ptbr_467
ptbr_5,ptbr_1245
ptbr_5,ptbr_717
ptbr_5,ptbr_1557
ptbr_5,ptbr_894
ptbr_5,ptbr_471
ptbr_5,ptbr_820
ptbr_5,ptbr_1549
ptbr_5,ptbr_1320
ptbr_5,ptbr_127
ptbr_5,ptbr_1259
ptbr_5,ptbr_1721
ptbr_5,ptbr_1311
ptbr_5,ptbr_1660
ptbr_5,ptbr_864
ptbr_5,ptbr_1758
ptbr_5,ptbr_608
ptbr_5,ptbr_1476
ptbr_5,ptbr_1297
ptbr_5,ptbr_1593
ptbr_5,ptbr_1763
ptbr_5,ptbr_585
ptbr_5,ptbr_1636
ptbr_6,ptbr_1486
ptbr_6,ptbr_1135
ptbr_6,ptbr_1422
ptbr_6,ptbr_1843
ptbr_6,ptbr_170
ptbr_6,ptbr_528
ptbr_6,ptbr_1194
ptbr_6,ptbr_290
ptbr_6,ptbr_67
ptbr_6,ptbr_467
ptbr_6,ptbr_235
ptbr_6,ptbr_717
ptbr_6,ptbr_654
ptbr_6,ptbr_908
ptbr_6,ptbr_1557
ptbr_6,ptbr_1137
ptbr_6,ptbr_358
ptbr_6,ptbr_589
ptbr_6,ptbr_1249
ptbr_6,ptbr_1045
ptbr_6,ptbr_127
ptbr_6,ptbr_661
ptbr_6,ptbr_287
ptbr_6,ptbr_1389
ptbr_6,ptbr_305
ptbr_6,ptbr_1593
ptbr_6,ptbr_306
ptbr_6,ptbr_188
ptbr_6,ptbr_1157
ptbr_6,ptbr_1142
ptbr_6,ptbr_1259
ptbr_6,ptbr_1739
ptbr_6,ptbr_1821
ptbr_6,ptbr_369
ptbr_6,ptbr_742
ptbr_6,ptbr_315
ptbr_6,ptbr_769
ptbr_6,ptbr_560
ptbr_6,ptbr_441
ptbr_6,ptbr_726
ptbr_6,ptbr_806
ptbr_6,ptbr_1320
ptbr_6,ptbr_1154
ptbr_6,ptbr_1839
ptbr_6,ptbr_1297
ptbr_6,ptbr_448
ptbr_6,ptbr_1660
ptbr_6,ptbr_92
ptbr_6,ptbr_1909
ptbr_6,ptbr_45
ptbr_6,ptbr_628
ptbr_6,ptbr_1763
