id,days,mature,views,partner,twitch_id
ptbr_1706,1943,FALSE,929459,TRUE,44891403
ptbr_1273,1633,FALSE,11194,FALSE,61180621
ptbr_313,632,FALSE,2850,FALSE,145109685
ptbr_1570,906,TRUE,3422,FALSE,122121521
ptbr_800,267,FALSE,71,FALSE,189445819
ptbr_1869,332,TRUE,11310,FALSE,181817228
ptbr_722,1021,TRUE,6929,FALSE,110511642
ptbr_367,1655,FALSE,4156,FALSE,59876145
ptbr_150,2102,TRUE,117902,FALSE,39174484
ptbr_474,1622,TRUE,5950,FALSE,62133251
ptbr_856,2230,FALSE,3759,FALSE,35923742
ptbr_1144,1912,FALSE,3168,FALSE,45717905
ptbr_810,638,TRUE,5205,FALSE,144541383
ptbr_1569,540,TRUE,36383,FALSE,153976112
ptbr_939,2164,FALSE,5182,FALSE,36718509
ptbr_1466,1789,TRUE,1636,FALSE,51764317
ptbr_1311,2082,FALSE,7070233,TRUE,39795492
ptbr_1589,1440,TRUE,22520,FALSE,74354006
ptbr_434,618,FALSE,1649,FALSE,145666995
ptbr_788,616,FALSE,8307,FALSE,146712223
ptbr_278,523,FALSE,16534,FALSE,156144245
ptbr_791,908,FALSE,1299,FALSE,113014442
ptbr_777,1103,FALSE,2467726,TRUE,103748544
ptbr_1367,2442,FALSE,676704,TRUE,27962080
ptbr_580,3224,FALSE,4725,FALSE,9471215
ptbr_1322,920,TRUE,14062,FALSE,120711952
ptbr_237,1200,FALSE,14716,FALSE,94859795
ptbr_1461,1963,FALSE,3010,FALSE,43650130
ptbr_638,640,TRUE,50079,FALSE,144442731
ptbr_764,463,TRUE,76754,FALSE,163079780
ptbr_1148,1957,TRUE,761878,TRUE,44304795
ptbr_113,2300,FALSE,21103,FALSE,31633655
ptbr_1535,1148,FALSE,46751,FALSE,100084972
ptbr_1602,2318,FALSE,3179,FALSE,31071597
ptbr_134,1673,FALSE,25976,FALSE,58835247
ptbr_426,629,TRUE,14962,FALSE,145482658
ptbr_584,1555,FALSE,25775,FALSE,66021588
ptbr_1057,1714,FALSE,167389,TRUE,55969277
ptbr_324,874,TRUE,17695,FALSE,124789454
ptbr_572,2005,FALSE,1550,FALSE,42288341
ptbr_1348,2001,FALSE,564235,TRUE,42642296
ptbr_489,1349,TRUE,81894,FALSE,81507358
ptbr_214,654,TRUE,35812,FALSE,142947067
ptbr_463,2168,TRUE,8246,FALSE,37357735
