from,to
ru_0,ru_646
ru_0,ru_2510
ru_0,ru_2425
ru_0,ru_2596
ru_0,ru_85
ru_0,ru_1725
ru_0,ru_208
ru_0,ru_1302
ru_0,ru_3534
ru_0,ru_57
ru_0,ru_3948
ru_0,ru_297
ru_0,ru_1800
ru_0,ru_2767
ru_0,ru_251
ru_0,ru_907
ru_0,ru_598
ru_0,ru_1786
ru_0,ru_1860
ru_0,ru_3294
ru_1,ru_3633
ru_1,ru_1800
ru_1,ru_2535
ru_1,ru_6
ru_1,ru_1725
ru_1,ru_1866
ru_1,ru_1276
ru_1,ru_2589
ru_1,ru_4082
ru_1,ru_571
ru_2,ru_646
ru_2,ru_3480
ru_2,ru_1165
ru_2,ru_648
ru_2,ru_1560
ru_2,ru_367
ru_2,ru_2879
ru_2,ru_1800
ru_2,ru_344
ru_2,ru_1477
ru_2,ru_2567
ru_2,ru_2832
ru_2,ru_2777
ru_2,ru_2578
ru_2,ru_568
ru_2,ru_208
ru_2,ru_3534
ru_2,ru_3665
ru_2,ru_1348
ru_2,ru_1276
ru_2,ru_3348
ru_2,ru_3
ru_2,ru_297
ru_2,ru_3754
ru_3600,ru_231
ru_3600,ru_3151
ru_3600,ru_4263
ru_3600,ru_1683
ru_3600,ru_3961
ru_3600,ru_3981
ru_3600,ru_2312
ru_3600,ru_2276
ru_3600,ru_3192
ru_3600,ru_1870
ru_3600,ru_1628
ru_3600,ru_1814
ru_3600,ru_895
ru_3600,ru_2289
ru_3600,ru_1787
ru_3600,ru_4313
ru_4,ru_1831
ru_4,ru_3339
ru_4,ru_1403
ru_4,ru_4302
ru_4,ru_1122
ru_4,ru_2116
ru_4,ru_1955
ru_4,ru_117
ru_4,ru_918
ru_4,ru_475
ru_5,ru_646
ru_6,ru_946
ru_6,ru_2001
ru_6,ru_2822
ru_6,ru_2563
ru_6,ru_3657
ru_6,ru_537
ru_6,ru_3100
ru_6,ru_3743
ru_6,ru_2826
ru_6,ru_1612
ru_6,ru_3112
ru_6,ru_2965
ru_6,ru_3364
ru_6,ru_2315
ru_6,ru_1093
ru_6,ru_146
ru_6,ru_956
ru_6,ru_3108
ru_6,ru_653
ru_6,ru_1755
ru_6,ru_1506
ru_6,ru_701
ru_6,ru_3983
ru_6,ru_640
ru_6,ru_2201
ru_6,ru_1159
ru_6,ru_2589
ru_6,ru_188
ru_6,ru_2610
ru_6,ru_2768
ru_6,ru_2464
ru_6,ru_450
ru_6,ru_316
ru_6,ru_977
ru_6,ru_455
ru_6,ru_1682
ru_6,ru_3684
ru_6,ru_178
ru_6,ru_2472
ru_6,ru_1830
ru_6,ru_3849
ru_6,ru_2337
ru_6,ru_2070
ru_6,ru_261
ru_6,ru_589
ru_6,ru_3270
ru_6,ru_1783
ru_6,ru_3410
ru_6,ru_3004
ru_6,ru_36
ru_6,ru_3141
ru_6,ru_730
ru_6,ru_1404
ru_6,ru_1405
ru_6,ru_470
ru_6,ru_2617
ru_6,ru_3007
ru_6,ru_2092
ru_6,ru_1143
ru_6,ru_2490
ru_6,ru_4208
ru_6,ru_2801
ru_6,ru_1958
ru_6,ru_1416
ru_6,ru_2233
ru_6,ru_3661
ru_6,ru_129
ru_6,ru_3158
ru_6,ru_2364
ru_6,ru_1973
ru_6,ru_1961
ru_6,ru_3720
ru_6,ru_1676
ru_6,ru_2241
ru_6,ru_2243
ru_6,ru_2896
ru_6,ru_2504
ru_6,ru_1520
ru_6,ru_217
ru_6,ru_218
ru_6,ru_1022
ru_6,ru_1444
ru_6,ru_1024
ru_6,ru_3198
ru_6,ru_1295
ru_6,ru_1072
ru_6,ru_2646
ru_6,ru_2903
ru_6,ru_83
ru_6,ru_84
ru_6,ru_499
ru_6,ru_1032
ru_6,ru_4283
ru_6,ru_3744
ru_6,ru_4187
ru_6,ru_1322
ru_6,ru_2131
ru_6,ru_4120
ru_6,ru_3749
ru_6,ru_1181
ru_6,ru_373
ru_6,ru_1824
ru_6,ru_2746
ru_6,ru_619
ru_6,ru_1581
ru_6,ru_3055
ru_6,ru_3887
ru_6,ru_1190
ru_6,ru_1053
ru_6,ru_4209
ru_6,ru_3209
ru_6,ru_3326
ru_6,ru_2665
ru_6,ru_110
ru_6,ru_1197
ru_6,ru_1330
ru_6,ru_4155
ru_6,ru_2512
ru_6,ru_1807
ru_6,ru_4224
ru_6,ru_1249
ru_6,ru_3841
ru_6,ru_4033
ru_6,ru_1864
ru_6,ru_1070
ru_6,ru_3834
ru_6,ru_4066
ru_6,ru_1199
ru_6,ru_223
ru_6,ru_3644
ru_6,ru_2846
ru_6,ru_2429
ru_6,ru_3349
ru_6,ru_1731
ru_6,ru_2170
ru_6,ru_2026
ru_6,ru_678
ru_7,ru_1561
ru_7,ru_2671
ru_8,ru_3910
ru_8,ru_912
ru_8,ru_3184
ru_8,ru_1559
ru_8,ru_1276
ru_8,ru_1309
ru_8,ru_550
ru_8,ru_1800
ru_8,ru_1034
ru_8,ru_2964
ru_8,ru_1487
ru_8,ru_2243
ru_8,ru_459
ru_9,ru_1943
ru_9,ru_1800
ru_9,ru_2510
ru_9,ru_3369
ru_9,ru_1300
ru_9,ru_3104
ru_9,ru_3156
ru_9,ru_216
ru_9,ru_3948
ru_9,ru_1310
ru_10,ru_3508
ru_10,ru_480
ru_10,ru_1581
ru_10,ru_1162
ru_10,ru_2879
ru_10,ru_1276
ru_10,ru_4172
ru_10,ru_4317
ru_10,ru_2315
ru_10,ru_912
ru_10,ru_895
ru_10,ru_2317
ru_10,ru_3524
ru_10,ru_1901
ru_10,ru_3041
ru_10,ru_1300
ru_10,ru_1374
ru_10,ru_1507
ru_10,ru_22
ru_10,ru_2912
ru_10,ru_88
ru_10,ru_547
ru_10,ru_4339
ru_10,ru_2542
ru_10,ru_443
ru_10,ru_91
ru_10,ru_459
ru_10,ru_4329
ru_10,ru_2983
ru_10,ru_1456
ru_10,ru_2626
