id,days,mature,views,partner,twitch_id
ru_1076,1910,FALSE,2002,FALSE,43622128
ru_1090,2273,TRUE,1885,FALSE,32314097
ru_633,998,FALSE,14538,FALSE,112985248
ru_2238,1738,TRUE,8541,FALSE,54595718
ru_1662,1461,FALSE,49854,FALSE,72920173
ru_464,1574,TRUE,5735,FALSE,64480092
ru_1103,1550,TRUE,37236,FALSE,66103338
ru_1131,1906,FALSE,1596,FALSE,46262362
ru_1478,1943,TRUE,7017,FALSE,44862199
ru_489,629,FALSE,4144,FALSE,143803289
ru_2467,2475,FALSE,413418,FALSE,27185730
ru_4133,937,FALSE,4230,FALSE,118873680
ru_3892,1970,FALSE,29549,FALSE,43223998
ru_1436,959,TRUE,7352,FALSE,116886173
ru_3226,1047,FALSE,281370,TRUE,108386286
ru_1704,1721,FALSE,1008,FALSE,55495866
ru_1292,1147,TRUE,6693,FALSE,100272539
ru_1605,1909,TRUE,13100,FALSE,46005692
ru_1981,1118,TRUE,151066,FALSE,102691286
ru_196,1517,FALSE,3960,FALSE,61383019
ru_4232,818,FALSE,59162,FALSE,129720054
ru_1473,1704,FALSE,2579,FALSE,55823083
ru_3654,1423,FALSE,19528,FALSE,75505340
ru_1751,1419,TRUE,2202,FALSE,75509026
ru_3034,2241,FALSE,46806,FALSE,35650958
ru_1258,391,FALSE,4807,FALSE,174295378
ru_1192,1357,FALSE,8028,FALSE,78514379
ru_155,1935,FALSE,11292,FALSE,45179174
ru_2288,1772,TRUE,36580,FALSE,52687077
ru_3090,1777,FALSE,8137,FALSE,52351956
ru_147,1077,FALSE,2635,FALSE,104194331
ru_302,671,TRUE,967,FALSE,140303111
ru_1911,465,FALSE,26058,FALSE,162762288
ru_2993,1560,FALSE,41448,FALSE,65664584
ru_1793,569,TRUE,5005,FALSE,151178595
ru_2926,2596,FALSE,894923,FALSE,24557004
ru_485,1176,TRUE,11691,FALSE,96961426
ru_2908,1259,TRUE,3243,FALSE,90062879
ru_536,841,FALSE,1498977,TRUE,127550452
ru_3419,416,TRUE,686,FALSE,126032241
ru_2879,1656,FALSE,192013,FALSE,59982738
ru_2117,2127,TRUE,7983,FALSE,38488953
ru_3788,709,FALSE,14228,FALSE,138562900
ru_3705,2241,FALSE,13837,FALSE,35642220
ru_1868,1206,FALSE,12037,FALSE,94342638
ru_765,978,FALSE,11113,FALSE,114563436
ru_899,1564,FALSE,4868,FALSE,65414821
ru_1893,1713,FALSE,52653,FALSE,56028695
ru_3536,1402,FALSE,213107,FALSE,76928985
ru_183,1414,FALSE,10030,FALSE,76120403
ru_3097,591,FALSE,1937,FALSE,148535048
ru_1268,1158,TRUE,7169,FALSE,98920810
ru_2349,1008,FALSE,7992,FALSE,112054630
ru_3797,1859,FALSE,11686,FALSE,47568600
ru_3796,1133,FALSE,565,FALSE,100428289
ru_2743,1348,FALSE,63534,FALSE,81654880
ru_1188,1600,TRUE,118198,FALSE,63187140
ru_1573,267,FALSE,13672,FALSE,191253422
ru_3497,1826,TRUE,91234,FALSE,50084347
ru_3405,1385,TRUE,5721,FALSE,77838683
ru_2679,2099,FALSE,462,FALSE,39037094
ru_4250,1966,FALSE,14373,FALSE,43564820
ru_3844,1855,TRUE,34959,FALSE,48929878
ru_1848,2135,TRUE,6009,FALSE,38253132
ru_3382,994,FALSE,33917,FALSE,113572151
ru_3820,710,FALSE,43561,FALSE,138474675
ru_3449,1884,TRUE,81335,FALSE,47634857
ru_919,904,FALSE,63810,FALSE,122367271
ru_3164,682,FALSE,40699,FALSE,140670858
ru_1281,1183,FALSE,4831,FALSE,96405887
ru_3881,624,TRUE,6250,FALSE,145693835
ru_2671,769,FALSE,7065,FALSE,133829589
ru_495,774,FALSE,39776,FALSE,133492901
ru_1617,436,FALSE,6722,FALSE,167095319
ru_3515,1997,FALSE,2991,FALSE,42777431
ru_2196,1150,FALSE,35439,FALSE,99766319
ru_54,1455,FALSE,144653,FALSE,72555196
ru_3685,1662,FALSE,33214,FALSE,59333452
ru_568,1736,TRUE,22405426,TRUE,54740008
ru_2884,1220,FALSE,24833,FALSE,93189499
ru_2773,2631,FALSE,13296,FALSE,23649817
ru_4010,504,FALSE,463,FALSE,151583296
ru_876,1351,TRUE,8815,FALSE,81307249
ru_1328,1238,FALSE,3222,FALSE,91670993
